review_text,rating,isrecommended
This shirt is my favorite shirt to wear during the summers whether I’m lifting or running it helps when I’m too hot. It’s oversized but it’s a nice oversized look. I’m also 5 foot 1 so the shirt comes down to just below the bottom of my torso.,5,TRUE
"Hål i tightsen efter att ha använt dem 1 gång. Har kontaktat Gymshark med foton, men har ännu inte fått återkoppling.",1,FALSE
"Bin begeistert, super bequem die Hose passt wie angegossen bin 1,60cm Gewicht 62kg kann nur weiter empfehlen..",5,TRUE
Great products very light weight and wicks all the sweat!,5,TRUE
It fit!  So many do not that I was worried it would not.  Really nice!,5,TRUE
"My first ever gymshark purchase and not happy with quality. After 1 wash already fluffing. Quality not as good as nike, adidas, puma that’s for sure",2,FALSE
Top broke after a week. Emailed customer services - no response.,1,FALSE
Love the backpack! I would've given it a 5 if it were slightly larger,4,TRUE
The green vitals are NOT squat proof so keep in mind if planning your workouts. Lovely colour but not the high quality of old gymshark. They’re as see through as the other brands I was trying to get away from when i started buying gymshark.,2,FALSE
Sent back - sizing and fit poor. Have one in blue which fits totally different,1,FALSE
Very soft and nice quality. I would recommend this product and fits true to size. I am a size 6/8 and wear a small.,5,TRUE
Le produit est de très bonne qualité et taillée parfaitement. Le rapport qualité prix est top. Toujours fan de mes commandes !,5,TRUE
I love the shorts. My only comment is that I wish it had side pockets.,4,TRUE
The elastic waste band has unthreaded and snapped after only my second wash! I love these shorts but now I cannot wear them.,1,FALSE
"The support is good, wish the sponge could be removed as I feel or not the need of having it",3,FALSE
It’s made well and makes you feel supported during high intensity exercises. Looks nice but feels stiff. I’m happy with it.,4,TRUE
Love everything about them except size runs quite small,4,TRUE
I’ve tried Gymshark a few times already and I just can’t purchase from that company because they make the waist way too small but their clothes are very cute. I wanted the shorts to fit so badly and they do everywhere else except the waist. I will be returning these. shorts.,2,FALSE
I enjoyed wearing these socks for my workouts and daily walks!,5,TRUE
"Great color, fit is good. Thicker material or fabric than anticipated.",4,TRUE
One of the best shorts on the market. Extremely comfortable and fits like a glove,5,TRUE
"I love the fabric, Super comfortable and soft. The fitting is also perfect. Will definitely purchase more in the future.",5,TRUE
"Sitzt gut und fällt normal aus. Ich trage meist s, manchmal m bei Gymshark aber hier hat wieder die s gut gepasst",5,TRUE
"dear gymshark, i just purchased the newly launched training leggings but the printed logo came off after first use. i wanted to return it back but shipping from sg is expensive and not for free! im worried with my other leggings and bandeaus that i purchased along with it. Also, my less worn fit leggings stitches came off too. i am quite disappointed as i am a fan of your brand since i started working out 2 years ago and never looked back with other brands…",1,FALSE
I really like all my gymshark leggings. You guys have the best product ever.,5,TRUE
Hat ein großes Volumen und ist angenehm zu tragen. Aber leider ging der Deckel nach 2 Wochen kaputt und ist abgebrochen,3,FALSE
"Absolutely love these leggings. The fabric is so soft and stretchy, yet it holds you in. The pants are a few inches about my ankle (I’m 5’6). I got a large, which is my typical size in gymshark and they fit great",5,TRUE
These leggings are lovely So soft and comfortable great fit,5,TRUE
Fit great! Comfortably tight at the ankle and loose at the thighs. Great semi-thin material for lounging or walks!,5,TRUE
"Quality made and great fitting shirt, would buy again",5,TRUE
"Love the vital seamless collection, they’re just so comfy but also so flattering.",5,TRUE
"Beste Legging überhaupt, super Passform, absolut blickdicht, transportiert Feuchtigkeit zuverlässig ab und ganz sicher ihren Preis wert!",5,TRUE
Lovely colour & super flattering! Only thing is not massively squat proof at all so maybe not a leg day wear!,4,TRUE
Product is oversized as stated! Order whatever size you usually are.,5,TRUE
Flasche ist nicht zu 100% dicht. Kann nicht in der Tasche gelagert werden und beim trinken hat man danach das Shirt voll....,1,FALSE
"The quality of the items was very disappointing and I felt obliged to return it, given that i have spent so much money on it. This was very surprising given the saturation of Gymshark on social media platforms. 
However, the returns process was very swift and customer friendly. I did not have to pay any fee to return the items nor have to have a printer available. I was refunded the money without any problems.",2,FALSE
