Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
4409,71947.28,1000,4394,77791.75,1057
10405,158062.79,2222,10255,170188.75,2413
12312,209746.46,2887,12199,212981.81,2917
11452,212484,2868,11222,212414.85,2978
9955,171727.46,2425,9931,184524.47,2499
11436,206042.98,3310,11501,211704.38,3343
12153,239481.76,3977,12091,250532.98,4087
13488,273040.49,4603,13400,267739.21,4590
11525,216424.95,3117,11227,215314.32,3176
12124,232211.7,3059,11890,229528.61,3142
10697,214100.05,2752,10447,218662.92,2813
8422,150464.49,1955,8496,143531.32,1915
8694,131874.02,1803,8504,140388.07,1844
9327,144273.25,1986,9048,141877.28,1991
10337,137100.01,1910,9964,139856.22,1911
28318,520657.12,6460,28072,525838.11,6660
29649,543959.22,7213,28845,543745.24,7240
34682,611574.19,8069,33889,608179.98,8120
25599,396712.93,5350,24956,401062.31,5468
22080,338163.08,4494,21622,338688.8,4576
20134,332960.93,4285,19749,317038.69,4336
20255,317466.96,4267,20203,308067.7,4318
15490,270181.45,3571,14893,258115.01,3482
15702,235958.1,3209,15570,237806.65,3218
20046,318232.6,4269,20061,343235.55,4482
19235,284805.39,3796,19045,298650.27,3940
18488,274488.14,3616,17621,260083.88,3442
22361,342738.97,4607,22173,344574.38,4768
28138,452689.1,6069,27327,443300.06,6161
25207,437549.4,5903,24534,461098.85,6066
23162,472773.39,5437,22379,470083.05,5489
19087,312167.71,3939,18709,326639.4,4201
15087,225719.87,2893,15083,226230.99,2988
14999,209449.17,2752,14525,211700.43,2826
15234,218878.69,2958,15018,221483.08,3064
