Control_sessions,Control_orders,Control_revenue,Control_custom,Variant_sessions,Variant_orders,Variant_revenue,Variant_custom
10271,501,31019.76081,1191,10523,557,34305.7481,1083
11576,501,29996.54855,1454,11466,514,30538.63277,1276
11223,575,34305.14186,1437,10847,544,32026.25462,1246
10124,501,30023.55164,1440,10387,516,33291.88298,1267
9980,487,30327.11006,1368,9735,474,27811.18545,1301
10110,533,33566.52251,1397,10254,515,34403.95338,1354
9618,528,33010.6726,1562,9555,531,32918.11148,1360
9689,457,29060.66651,1510,10151,495,30929.47381,1414
11621,551,34708.54423,1733,11305,603,37935.84288,1622
11422,504,30736.06773,1690,11465,539,30952.76374,1574
11166,527,33982.25665,1583,10210,483,29504.62689,1489
10511,510,31486.9764,1669,10717,545,33140.44474,1428
11270,586,38246.33738,1705,10205,518,37722.48786,1500
10135,559,38307.2823,1674,10615,572,40671.18234,1521
9066,573,39556.1073,1729,9677,645,43594.5376,1566
10543,696,47903.2019,2013,11271,752,52187.68157,1836
9458,572,37101.92593,1816,9836,571,38754.65175,1758
9002,517,33372.10654,1728,9104,567,37870.28473,1664
8951,525,35509.77664,1750,8768,533,34570.14163,1676
9003,572,39084.9254,1662,8654,529,35658.50035,1552
7982,500,33897.02484,1600,7676,509,33003.10701,1346
8057,495,33867.83651,1544,8353,538,36659.24844,1400
9589,599,41992.58332,1673,8980,585,39700.95609,1525
8549,525,36029.97413,1507,8425,516,33613.06596,1328
