Control_sessions,Control_orders,Control_revenue,Control_custom,Variant_sessions,Variant_orders,Variant_revenue,Variant_custom
10271,501,31019.76081,7593,10335,547,33569.46411,7864
11576,501,29996.54855,8562,11949,522,30926.47552,8938
11223,575,34305.14186,7705,11484,553,32566.0816,8185
10124,501,30023.55164,7299,9985,563,35506.60314,7411
9980,487,30327.11006,7011,9853,500,29883.55412,7252
10110,533,33566.52251,7262,10107,556,34179.49109,7501
9618,528,33010.6726,7048,9051,501,32635.96136,6722
9689,457,29060.66651,7290,9506,487,32412.39045,7098
11621,551,34708.54423,8349,12134,590,37926.64557,9008
11422,504,30736.06773,7951,11384,529,32945.20755,8198
11166,527,33982.25665,7647,10578,503,33329.06463,7659
10511,510,31486.9764,7245,10381,504,30721.95402,7522
11270,586,38246.33738,8055,11686,616,41451.29381,8148
10135,559,38307.2823,7368,10985,623,44634.16287,7969
9066,573,39556.1073,7250,9076,637,42711.18671,7498
10543,696,47903.2019,8370,10604,692,49717.79131,8722
9458,572,37101.92593,7422,9416,544,36822.7249,7553
9002,517,33372.10654,7084,8748,539,37693.99174,7162
8951,525,35509.77664,6986,9189,590,37884.36787,7410
9003,572,39084.9254,7172,8572,532,36163.65468,6949
7982,500,33897.02484,6328,7596,509,33678.37952,6045
8057,495,33867.83651,6429,8106,497,35855.83247,6672
9589,599,41992.58332,7659,9501,647,43196.15002,7843
8549,525,36029.97413,6701,8101,523,35902.91177,6460
