Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
38668,60994.96738,12931,37262,61079.70132,12546
95142,132162.7014,30296,96077,134204.9502,29741
93188,114134.5079,28568,94461,115342.5105,27764
94455,102194.3276,27852,94631,98605.71885,27188
106492,91691.66603,34267,107813,85215.84689,33558
142266,69639.12594,59387,144057,71032.61967,57648
475580,3433010.084,475580,456528,3317314.272,456528
327890,1712633.527,284435,331683,1691896.219,279922
217997,962130.0324,159252,224833,955556.3128,155281
199408,768798.0019,128474,187933,744501.7643,124748
213268,769554.6505,154406,220003,771248.1305,153940
192131,730634.7203,117157,190639,733095.1801,115864
172795,733572.8391,124891,173360,725789.6802,121790
199538,884976.4353,139301,205162,872235.4828,137013
165013,643293.7185,101966,163738,619595.2095,97761
152801,628524.3032,104224,150985,630662.9231,103122
171240,762179.4085,133772,174609,741452.0016,130044
194119,1002412.538,185250,194083,976315.6764,180021
250092,1570011.022,247962,238264,1494374.655,236186
190195,909111.9454,151503,184927,869094.2324,146134
175283,887367.7509,142185,177272,871700.7644,139499
164944,820675.8931,122512,162188,788975.6913,117784
89764,196379.8109,26973,85466,196639.0877,27073
71912,142986.2794,21000,71162,148730.4137,20985
68791,141963.5019,22263,66830,135692.7735,21546
62612,138855.9651,21372,62835,135487.7804,20452
69909,150921.6353,22409,68536,147751.3666,21798
75879,189695.2966,27762,76504,180986.1724,26673
85425,237008.2731,32833,83078,226830.6845,31875
83624,202205.7467,27329,81422,194187.6706,26569
74934,189932.0073,25531,73569,185064.2791,25114
61721,171154.2905,21947,61326,167915.0204,21717
