Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
12316,64109,709,8501,41960,492
11817,65166,749,8136,45715,515
9640,53956,618,6246,36782,442
8704,48207,553,5861,34188,400
10075,61168,700,7128,41115,486
11839,56305,704,8105,43290,542
13448,69723,817,9594,51989,619
12148,67450,766,9040,49777,611
12671,61435,670,8942,47251,542
11646,66208,713,8597,50365,594
10510,60104,692,7860,40672,507
14299,57028,660,10385,44265,526
16827,56715,666,12041,38568,480
16497,57569,657,11876,43453,522
17330,50045,614,12416,39142,464
17192,48867,576,12667,32826,435
19270,40911,550,12957,28624,383
21135,26956,369,14407,17024,216
35971,311654,3964,25143,216746,2774
32787,295631,3787,23217,207598,2688
36066,296336,3894,23809,196260,2659
35374,270814,3821,23702,192813,2685
39426,314506,4509,27116,210005,3115
49489,453785,6740,33282,318878,4742
85564,992788,16070,55119,648172,10695
55442,671658,11053,36685,437085,7127
37457,315617,5315,26162,222415,3668
45209,432244,7241,31051,272350,4674
30088,343218,5729,19567,215384,3644
14282,53617,796,9206,34363,519
14515,48900,704,9080,33584,493
14948,56087,816,9352,33421,523
14589,59419,896,8954,35145,555
14618,61833,915,9500,37753,598
19762,82510,1197,10506,38007,610
20920,87715,1243,11191,48276,743
