Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
38668,60994.96738,13452,37262,61079.70132,13136
95142,132162.7014,30204,96077,134204.9502,29270
93188,114134.5079,28775,94461,115342.5105,28155
94455,102194.3276,27199,94631,98605.71885,26528
106492,91691.66603,29694,107813,85215.84689,29059
142266,69639.12594,41907,144057,71032.61967,40853
475580,3433010.084,224772,456528,3317314.272,213175
327890,1712633.527,137852,331683,1691896.219,137482
217997,962130.0324,86602,224833,955556.3128,83817
199408,768798.0019,70495,187933,744501.7643,66287
213268,769554.6505,81410,220003,771248.1305,81717
192131,730634.7203,68460,190639,733095.1801,67508
172795,733572.8391,68752,173360,725789.6802,65938
199538,884976.4353,80164,205162,872235.4828,78976
165013,643293.7185,63425,163738,619595.2095,60451
152801,628524.3032,58938,150985,630662.9231,59652
171240,762179.4085,71189,174609,741452.0016,72588
194119,1002412.538,82229,194083,976315.6764,82623
250092,1570011.022,111512,238264,1494374.655,104632
190195,909111.9454,76537,184927,869094.2324,72769
175283,887367.7509,72157,177272,871700.7644,70222
164944,820675.8931,63297,162188,788975.6913,62039
89764,196379.8109,29733,85466,196639.0877,28512
71912,142986.2794,24208,71162,148730.4137,23847
68791,141963.5019,23450,66830,135692.7735,22595
62612,138855.9651,22449,62835,135487.7804,21613
69909,150921.6353,24664,68536,147751.3666,23979
75879,189695.2966,29755,76504,180986.1724,29490
85425,237008.2731,33013,83078,226830.6845,30909
83624,202205.7467,32092,81422,194187.6706,30334
74934,189932.0073,27420,73569,185064.2791,26286
61721,171154.2905,22742,61326,167915.0204,22227
