Control_sessions,Control_orders,Control_revenue,Control_custom,Variant_sessions,Variant_orders,Variant_revenue,Variant_custom
4401,205,15424.29,1536,4662,201,14255.43,1543
11062,515,36439.15,3659,11051,493,35579.54,3644
10666,483,32177.96,3604,10540,489,36613.57,3546
9932,409,32606.89,3097,9774,412,30346.08,3064
9649,377,29808.7,2963,9554,374,27638.97,2967
11256,473,35647.84,3527,11159,454,36061.75,3428
11141,442,31589,3416,11281,454,33696.52,3442
10472,413,31408.42,3288,10690,399,29862.1,3213
10427,416,33392.7,3344,10887,470,36315.89,3504
13622,614,49189.92,4461,13665,600,48340.94,4501
21030,1193,98479.85,6977,20873,1139,91987.81,6948
20986,1227,94725.43,6857,20774,1204,93412.21,6837
23962,1395,112572.27,7853,23477,1406,110084.25,7808
18863,960,65345.1022,5617,18186,856,57691.25627,5466
17580,827,53521.91985,5474,17632,871,58763.15414,5212
