Control_sessions,Control_orders,Control_revenue,Control_custom,Variant_sessions,Variant_orders,Variant_revenue,Variant_custom
11048,449,34645.9,4131,12425,494,34178.19,4671
11052,470,34705.22,4182,13326,589,43214.14,5244
10718,455,34640.81,4061,12466,542,38744.5,4842
9971,383,30603.63,3668,11059,460,33981.83,4135
11003,398,32378.43,4109,12536,498,36614.77,4657
12246,423,30132.4,4391,13472,482,33169.91,4925
11770,441,35018.66,4517,13487,562,43865.16,5210
12078,451,31537.64,4507,13782,531,38416.03,5243
14298,569,46754.74,5706,14114,620,54646.4,5783
14537,644,57921.94,5848,12412,582,51094.77,5053
12107,542,47316.51,4696,11090,509,41934.53,4229
12463,543,47753.06,4806,11510,540,46599.47,4489
13249,543,43334.23,5200,11640,538,44422.8,4553
12881,562,44336.6,5270,11646,551,44845.79,4849
12600,585,49485.96,5324,11854,596,53200.08,5028
11620,519,42406.13,4953,11325,569,49941.34,4890
12210,694,58182.72,5475,8912,527,44710.64,4182
11125,705,61673.1,4891,8017,458,43354.34,3676
11101,582,52636.44,4751,7951,451,41216.78,3590
