Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
185491,2136381.688,36923,174776,2152871.47,37020
124733,1182797.147,21249,122728,1203172.317,21598
116115,1183163.582,21249,120155,1185990.605,21379
108928,1142017.249,20863,110180,1142608.397,20878
52597,269530.5441,4893,51572,268155.6699,4842
43493,184262.9261,3057,43225,188556.0147,3131
42022,169904.9197,2859,40888,173322.753,2929
44226,231164.3772,3768,43525,224546.5337,3692
37197,213229.8798,3507,37204,211429.8403,3533
38426,204740.6856,3337,38267,207253.3507,3387
45474,258153.5269,4557,44269,256076.3019,4539
43004,282471.1651,5207,43753,288761.3698,5280
41826,260424.796,4795,41394,268319.9842,4865
36744,221962.64,3756,36230,220102.9529,3794
35163,218416.8106,3687,34476,215634.4082,3669
28826,187198.9578,3056,30027,187380.6102,3118
27695,147312.3627,2459,27346,153552.5744,2562
28998,150452.3095,2414,30612,155094.0897,2439
27593,140889.1443,2198,27212,144937.4219,2274
24610,99058.0265,1610,24892,99063.50623,1601
44244,260767.2184,3888,42715,262635.1477,3912
62870,357841.0772,5419,64974,360439.5915,5527
88784,487497.9375,7593,89562,491478.1459,7644
70421,351874.0389,5243,67699,340113.0041,5134
67828,324520.4758,4830,66312,322954.1579,4769
59077,278106.1947,4166,57570,279952.525,4171
53194,254403.6952,3792,53777,254474.7856,3830
38620,191894.5561,2883,37924,191980.7539,2879
48730,221563.2071,3191,49160,226592.283,3296
52797,263654.3549,3869,51893,274791.9275,4002
50515,243904.4383,3635,51671,245575.8449,3651
54059,266391.5844,3950,55836,263783.4739,3856
50991,272331.5968,4207,51235,278685.0817,4298
58180,323465.2753,4978,58601,324793.8602,5064
52984,292902.8502,4356,52659,289334.0951,4319
49906,253887.9226,3659,49915,254686.1549,3705
45625,219781.4843,3231,45727,221629.1307,3282
43635,180209.2605,2660,43848,191573.2765,2758
49052,220518.652,3142,48585,225198.4217,3182
43580,187309.9123,2888,43302,195736.0719,2975
